URL,Owner,Repo,Severity,Type,Score,Cyrillic,Entropy Files,YARA Matches,Status
https://github.com/Floren-pinto/apex-legends-elite-enhancer,Floren-pinto,apex-legends-elite-enhancer,LOW,PATTERN_MATCH,39,False,0,0,PENDING
https://github.com/free-apex-legends-aim/.github,free-apex-legends-aim,.github,MEDIUM,PATTERN_MATCH,47,False,0,0,PENDING
https://github.com/free-apex-legends-aimbot/.github,free-apex-legends-aimbot,.github,HIGH,YARA_MATCH,70,False,0,1,PENDING
https://github.com/ApexLegends-HyperBoost-Toolkit/.github,ApexLegends-HyperBoost-Toolkit,.github,MEDIUM,PATTERN_MATCH,47,False,0,0,PENDING
https://github.com/ApexLegendsAimAssistESPToolkit/.github,ApexLegendsAimAssistESPToolkit,.github,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/SoftwareDevelopment11/Apex-Legends-External-2025,SoftwareDevelopment11,Apex-Legends-External-2025,HIGH,YARA_MATCH,74,False,0,3,PENDING
https://github.com/superbrogoat9759/ApexLegendsZeusMenu,superbrogoat9759,ApexLegendsZeusMenu,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/Niharika0612/Apex-Point-hacks-damage-multiplier-pack,Niharika0612,Apex-Point-hacks-damage-multiplier-pack,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/DongB6/ApexHackathon2,DongB6,ApexHackathon2,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/Iscar919/pubg-advantage-toolkit,Iscar919,pubg-advantage-toolkit,HIGH,YARA_MATCH,54,False,0,1,PENDING
https://github.com/CoffinDynasty/pubg-aimplus-tools,CoffinDynasty,pubg-aimplus-tools,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/hisham-cpu/pubg-hack-2025-new,hisham-cpu,pubg-hack-2025-new,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/PUBG-Radar-Hack/.github,PUBG-Radar-Hack,.github,HIGH,YARA_MATCH,41,False,0,1,PENDING
